
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.027 | 6.3447e-06 |  6.3091e-06 |   6.3092e-06  |  6.3448e-06 |
| 0.027 | 6.4163e-06 |  6.3804e-06 |   6.3804e-06  |  6.4163e-06 |
| 0.027 | 6.4884e-06 |  6.4522e-06 |   6.4523e-06  |  6.4884e-06 |
| 0.027 | 6.5610e-06 |  6.5246e-06 |   6.5246e-06  |  6.5610e-06 |
| 0.027 | 6.6342e-06 |  6.5975e-06 |   6.5975e-06  |  6.6342e-06 |
| 0.027 | 6.7079e-06 |  6.6709e-06 |   6.6710e-06  |  6.7079e-06 |
| 0.027 | 6.7821e-06 |  6.7449e-06 |   6.7450e-06  |  6.7822e-06 |
| 0.027 | 6.8569e-06 |  6.8194e-06 |   6.8195e-06  |  6.8570e-06 |
| 0.028 | 6.9323e-06 |  6.8945e-06 |   6.8946e-06  |  6.9323e-06 |
| 0.028 | 7.0082e-06 |  6.9702e-06 |   6.9702e-06  |  7.0082e-06 |
| 0.028 | 7.0846e-06 |  7.0463e-06 |   7.0464e-06  |  7.0847e-06 |
| 0.028 | 7.1617e-06 |  7.1231e-06 |   7.1231e-06  |  7.1617e-06 |
